ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2020-03-18,76.999980879024,76.99869696397329,77.00133265179133,76.999980879024,76.999980879024,-2.2659655888758532e-05,-2.2659655888758532e-05,-2.2659655888758532e-05,-2.2659655888758532e-05,-2.2659655888758532e-05,-2.2659655888758532e-05,0.0,0.0,0.0,76.99995821936811
2020-03-19,77.99996580128399,77.99862926857286,78.00136911489192,77.99996580128399,77.99996580128399,-5.301048555028569e-06,-5.301048555028569e-06,-5.301048555028569e-06,-5.301048555028569e-06,-5.301048555028569e-06,-5.301048555028569e-06,0.0,0.0,0.0,77.99996050023543
2020-03-20,78.999950723544,78.99858967515783,79.00126144663025,78.999950723544,78.999950723544,1.6100842493622384e-05,1.6100842493622384e-05,1.6100842493622384e-05,1.6100842493622384e-05,1.6100842493622384e-05,1.6100842493622384e-05,0.0,0.0,0.0,78.99996682438649
2020-03-21,79.999951193404,79.99867421153921,80.00133601059427,79.999951193404,79.999951193404,2.3448135717356248e-05,2.3448135717356248e-05,2.3448135717356248e-05,2.3448135717356248e-05,2.3448135717356248e-05,2.3448135717356248e-05,0.0,0.0,0.0,79.99997464153972
2020-03-22,80.99995166326401,80.99865379207726,81.00127832471817,80.99995166326401,80.99995166326401,1.2960432586758487e-05,1.2960432586758487e-05,1.2960432586758487e-05,1.2960432586758487e-05,1.2960432586758487e-05,1.2960432586758487e-05,0.0,0.0,0.0,80.9999646236966
2020-03-23,81.99995213312401,81.99858588290529,82.00122927351838,81.99995213312401,81.99995213312401,-3.6439915499519553e-06,-3.6439915499519553e-06,-3.6439915499519553e-06,-3.6439915499519553e-06,-3.6439915499519553e-06,-3.6439915499519553e-06,0.0,0.0,0.0,81.99994848913246
2020-03-24,82.999952602984,82.99864245953314,83.0012269008466,82.999952602984,82.999952602984,-2.0904714804057218e-05,-2.0904714804057218e-05,-2.0904714804057218e-05,-2.0904714804057218e-05,-2.0904714804057218e-05,-2.0904714804057218e-05,0.0,0.0,0.0,82.9999316982692
2020-03-25,83.99995307284401,83.99864491270692,84.00119677675868,83.99995307284401,83.99995307284401,-2.265965588878725e-05,-2.265965588878725e-05,-2.265965588878725e-05,-2.265965588878725e-05,-2.265965588878725e-05,-2.265965588878725e-05,0.0,0.0,0.0,83.99993041318812
2020-03-26,84.999953542704,84.99865205435995,85.00131366446094,84.999953542704,84.999953542704,-5.301048555006966e-06,-5.301048555006966e-06,-5.301048555006966e-06,-5.301048555006966e-06,-5.301048555006966e-06,-5.301048555006966e-06,0.0,0.0,0.0,84.99994824165545
2020-03-27,85.99995401256402,85.99864932511511,86.00124367357989,85.99995401256402,85.99995401256402,1.6100842493633554e-05,1.6100842493633554e-05,1.6100842493633554e-05,1.6100842493633554e-05,1.6100842493633554e-05,1.6100842493633554e-05,0.0,0.0,0.0,85.9999701134065
2020-03-28,86.999954482424,86.9986923428882,87.00121648171724,86.999954482424,86.999954482424,2.3448135717352768e-05,2.3448135717352768e-05,2.3448135717352768e-05,2.3448135717352768e-05,2.3448135717352768e-05,2.3448135717352768e-05,0.0,0.0,0.0,86.99997793055972
2020-03-29,87.999954952284,87.99862474024742,88.00124503211005,87.999954952284,87.999954952284,1.2960432586747354e-05,1.2960432586747354e-05,1.2960432586747354e-05,1.2960432586747354e-05,1.2960432586747354e-05,1.2960432586747354e-05,0.0,0.0,0.0,87.99996791271658
2020-03-30,88.999955422144,88.99852367333152,89.00126407636203,88.999955422144,88.999955422144,-3.6439915499649974e-06,-3.6439915499649974e-06,-3.6439915499649974e-06,-3.6439915499649974e-06,-3.6439915499649974e-06,-3.6439915499649974e-06,0.0,0.0,0.0,88.99995177815245
2020-03-31,89.999955892004,89.9985439510321,90.00126531223316,89.999955892004,89.999955892004,-2.0904714804020257e-05,-2.0904714804020257e-05,-2.0904714804020257e-05,-2.0904714804020257e-05,-2.0904714804020257e-05,-2.0904714804020257e-05,0.0,0.0,0.0,89.9999349872892
2020-04-01,90.99995636186401,90.99867149705337,91.00127558132154,90.99995636186401,90.99995636186401,-2.2659655888781784e-05,-2.2659655888781784e-05,-2.2659655888781784e-05,-2.2659655888781784e-05,-2.2659655888781784e-05,-2.2659655888781784e-05,0.0,0.0,0.0,90.99993370220812
